process_step,parameter,unit,value,source,assumption_status,notes,applies_to_pathways
Mechanical recycling,Electricity demand,MWh/t PCW,0.492,Midpoint of Larrain et al. (2021) and Nordahl et al. (2023),Literature-based central estimate,,Mechanical recycling
Mechanical recycling,Direct process emissions,t CO2/t PCW,0.4,Nordahl et al. (2023),Literature-based,,Mechanical recycling
Mechanical recycling,Additional OPEX,EUR/t PCW,157.4,Garcia-Gutierrez et al. (2023),Literature-based,Reported value may include electricity; retained as applied in the model basis.,Mechanical recycling
CO2 capture by amine scrubbing,Capture rate,%,90.0,Sollai et al. (2023),Literature-based,,CO2/H2 methanol and FT routes
CO2 capture by amine scrubbing,CAPEX,EUR/t annual CO2 capture capacity,615.7,Sollai et al. (2023),Literature-based,,CO2/H2 methanol and FT routes
CO2 capture by amine scrubbing,Electricity demand,MWh/t captured CO2,0.972,Author assumption based on the process configuration in Sollai et al. (2023),Author assumption,,CO2/H2 methanol and FT routes
CO2 capture by amine scrubbing,Residual direct emissions,t CO2/t captured CO2,0.11,Author calculation based on 90% capture rate,Author calculation,,CO2/H2 methanol and FT routes
CO2 capture by amine scrubbing,Additional OPEX,EUR/t captured CO2,15.39,2.5% of CAPEX,Author assumption,,CO2/H2 methanol and FT routes
Reverse water-gas shift and methanol synthesis,Methanol yield,t methanol/t (H2 + CO2),0.605,Sollai et al. (2023),Literature-based,,CO2/H2 methanol route
Reverse water-gas shift and methanol synthesis,CAPEX,EUR/t annual methanol capacity,280.82,Sollai et al. (2023),Literature-based,,CO2/H2 methanol route
Reverse water-gas shift and methanol synthesis,Electricity demand,MWh/t methanol,0.2068,Sollai et al. (2023),Literature-based,,CO2/H2 methanol route
Reverse water-gas shift and methanol synthesis,CO2 demand,t CO2/t methanol,1.446,Sollai et al. (2023),Literature-based,,CO2/H2 methanol route
Reverse water-gas shift and methanol synthesis,Hydrogen demand,t H2/t methanol,0.208,Sollai et al. (2023),Literature-based,,CO2/H2 methanol route
Reverse water-gas shift and methanol synthesis,Direct process emissions,t CO2/t methanol,0.05,Sollai et al. (2023),Literature-based,,CO2/H2 methanol route
Reverse water-gas shift and methanol synthesis,Water coproduct,t H2O/t methanol,0.654,Sollai et al. (2023),Literature-based,,CO2/H2 methanol route
Reverse water-gas shift and methanol synthesis,Additional OPEX,EUR/t methanol,7.0,2.5% of CAPEX,Author assumption,,CO2/H2 methanol route
Methanol-to-propylene,HVC yield,t HVC/t methanol,0.46,Markowitsch et al. (2023); product slate excluding water,Literature-based,,CO2/H2 methanol and biomethanol routes
Methanol-to-propylene,CAPEX,EUR/t annual methanol input,1106.75,Markowitsch et al. (2023); inflation and currency conversion,Literature-based with author conversion,,CO2/H2 methanol and biomethanol routes
Methanol-to-propylene,Electricity demand,MWh/t methanol,3.06,Markowitsch et al. (2023); author conversion,Literature-based with author conversion,,CO2/H2 methanol and biomethanol routes
Methanol-to-propylene,Additional OPEX,EUR/t methanol,27.65,2.5% of CAPEX,Author assumption,,CO2/H2 methanol and biomethanol routes
Reverse water-gas shift and Fischer-Tropsch synthesis,FT-naphtha yield,t FT naphtha/t (H2 + CO2),0.265,Markowitsch et al. (2023),Literature-based,,CO2/H2 FT route
Reverse water-gas shift and Fischer-Tropsch synthesis,CAPEX,EUR/t annual FT-naphtha capacity,297.892,Author scaling based on Markowitsch et al. (2023),Author calculation,,CO2/H2 FT route
Reverse water-gas shift and Fischer-Tropsch synthesis,Electricity demand,MWh/t FT naphtha,0.239,Author assumption for compression demand,Author assumption,,CO2/H2 FT route
Reverse water-gas shift and Fischer-Tropsch synthesis,CO2 demand,t CO2/t FT naphtha,3.307,Markowitsch et al. (2023),Literature-based,,CO2/H2 FT route
Reverse water-gas shift and Fischer-Tropsch synthesis,Hydrogen demand,kg H2/t FT naphtha,461.9,Markowitsch et al. (2023),Literature-based,,CO2/H2 FT route
Reverse water-gas shift and Fischer-Tropsch synthesis,Direct process emissions,t CO2/t FT naphtha,0.0157,Markowitsch et al. (2023),Literature-based,,CO2/H2 FT route
Reverse water-gas shift and Fischer-Tropsch synthesis,Water coproduct,t H2O/t FT naphtha,2.75,Markowitsch et al. (2023),Literature-based,,CO2/H2 FT route
Reverse water-gas shift and Fischer-Tropsch synthesis,Additional OPEX,EUR/t FT naphtha,7.44,2.5% of CAPEX,Author assumption,,CO2/H2 FT route
Biomethanol production,Methanol yield,t methanol/t dry biomass,0.385,Bazzanella and Ausfelder (2017),Literature-based,,Biomethanol route
Biomethanol production,CAPEX,EUR/t annual biomethanol capacity,1360.0,"Author scaling from Bazzanella and Ausfelder (2017), Markowitsch et al. (2023), and Sollai et al. (2023)",Author calculation,,Biomethanol route
Biomethanol production,Electricity demand,MWh/t biomethanol,0.167,Bazzanella and Ausfelder (2017),Literature-based,,Biomethanol route
Biomethanol production,Additional OPEX,EUR/t biomethanol,34.0,2.5% of CAPEX,Author assumption,,Biomethanol route
Conventional propane dehydrogenation (PDH),Renewable propane input,t renewable propane/t PP,1.194,Agarwal (2018); author scaling to the PP functional unit,Literature-based with author conversion,Purchased renewable propane replaces fossil propane; upstream production is represented by its price.,Renewable propane route
Conventional propane dehydrogenation (PDH),"Electricity demand, PDH block",MWh/t PP,0.5,Agarwal (2018); author conversion,Literature-based with author conversion,"Together with 0.230 MWh/t PP for polymerisation, this gives 0.730 MWh/t PP.",Renewable propane route
Conventional propane dehydrogenation (PDH),Reported fixed CAPEX,USD_2016/t annual propylene capacity,990,Agarwal (2018),Literature-based,"Original conventional-PDH basis before currency, price-year and functional-unit conversion.",Renewable propane route
Conventional propane dehydrogenation (PDH),Converted PDH CAPEX contribution,EUR/t annual PP capacity,1415,"Agarwal (2018); author currency, price-year and functional-unit conversion",Author calculation,"Polymerisation adds EUR 200/t annual PP capacity, giving route CAPEX of EUR 1,615/t annual PP capacity.",Renewable propane route
Conventional propane dehydrogenation (PDH),Reported non-feedstock OPEX,USD_2016/t propylene,76.1,Agarwal (2018),Literature-based,"Original conventional-PDH basis before currency, price-year and functional-unit conversion.",Renewable propane route
Conventional propane dehydrogenation (PDH),Converted PDH OPEX contribution,EUR/t PP,88,"Agarwal (2018); author currency, price-year and functional-unit conversion",Author calculation,"Polymerisation adds EUR 5/t PP, giving route OPEX of EUR 93/t PP.",Renewable propane route
Conventional propane dehydrogenation (PDH),Hydrogen coproduct,t H2/t PP,0.0443,Agarwal (2018); author scaling to the PP functional unit,Literature-based with author conversion,No hydrogen coproduct credit is applied in the cost model.,Renewable propane route
PDH utility integration and off-gas heat recovery,Low-pressure steam demand,MWh_th/t PP,3.333,Agarwal (2018); author unit and functional-unit conversion,Literature-based with author conversion,Intermediate utility used in the net natural-gas calculation.,Renewable propane route
PDH utility integration and off-gas heat recovery,Fired-heat requirement,MWh_th/t PP,2.237,Agarwal (2018); author unit and functional-unit conversion,Literature-based with author conversion,Gross fired-heat demand before the retained renewable off-gas heat recovery.,Renewable propane route
PDH utility integration and off-gas heat recovery,Final purchased natural-gas demand,MWh/t PP,4.878,Agarwal (2018); author utility integration and off-gas heat-recovery calculation,Author calculation,Net CaCoCa input after consistent conversion of external utilities and the energetic renewable off-gas credit.,Renewable propane route
PDH utility integration and off-gas heat recovery,Direct process emissions contribution,t CO2/t PP,0.98,Agarwal (2018); author conversion and boundary treatment,Author calculation,"Together with 0.200 t CO2/t PP from polymerisation, this gives 1.180 t CO2/t PP. Biogenic off-gas CO2 is treated consistently with the manuscript boundary.",Renewable propane route
